,One Outlier Sets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HIGH OUTLIER ON HIGH SET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2
,621,710,,,435,497,,,248,284,,,168,192,,,745,852,,,522,596,,,623,694,,,436,486,,,249,278,,,168,187,,,642,715,,,523,583
,591,732,,,414,512,,,236,293,,,160,198,,,709,878,,,496,615,,,757,648,,,530,454,,,303,259,,,204,175,,,780,667,,,636,544
,755,781,,,529,547,,,302,312,,,204,211,,,906,937,,,634,656,,,699,793,,,489,555,,,280,317,,,189,214,,,720,817,,,587,666
,663,763,,,464,534,,,265,305,,,179,206,,,796,916,,,557,641,,,770,725,,,539,508,,,308,290,,,208,196,,,793,747,,,647,609
,643,745,,,450,522,,,257,298,,,174,201,,,772,894,,,540,626,,,707,717,,,495,502,,,283,287,,,191,194,,,728,739,,,594,602
,554,691,,,388,484,,,222,276,,,150,187,,,665,829,,,465,580,,,703,828,,,492,580,,,281,331,,,190,224,,,724,853,,,591,696
,700,600,,,490,420,,,280,240,,,189,162,,,840,720,,,588,504,,,578,741,,,405,519,,,231,296,,,156,200,,,595,763,,,486,622
,655,963,,,459,674,,,262,385,,,177,260,,,786,998,,,550,866,,,699,999,,,489,699,,,280,400,,,189,270,,,720,999,,,587,866
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,646.71,717.43,,mean,452.7,502.2,,mean,258.69,286.97,,mean,174.61,193.71,,mean,776.06,860.91,,mean,543.24,602.64,,mean,692,768.13,,mean,484.4,537.69,,mean,276.4,294.06,,mean,186.57,198.49,,mean,711.73,757.2,,mean,580.44,617.52
SD,62.41,103.1,,SD,47.14,42.03,,SD,26.93,24.02,,SD,18.18,16.21,,SD,80.8,72.06,,SD,56.56,50.44,,SD,63.82,108.65,,SD,44.67,76.06,,SD,27.55,24.07,,SD,18.59,16.25,,SD,70.93,61.98,,SD,57.85,50.54
SD as % of mean ,0.1,0.14,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.09,0.14,,SD as % of mean ,0.09,0.14,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08,,SD as % of mean ,0.1,0.08
mean (outlier),647.75,748.13,,mean (outlier),453.43,523.69,,mean (outlier),259.1,299.25,,mean (outlier),174.89,201.99,,mean (outlier),777.3,878.05,,mean (outlier),544.11,635.56,,mean (outlier),692,768.13,,mean (outlier),484.4,537.69,,mean (outlier),276.8,307.25,,mean (outlier),186.84,207.39,,mean (outlier),712.76,787.42,,mean (outlier),581.28,648.58
SD - outlier,66.39,110.11,,SD - outlier,46.47,77.07,,SD - outlier,26.56,44.04,,SD - outlier,17.93,29.73,,SD - outlier,79.67,88.34,,SD - outlier,55.77,111.21,,SD - outlier,62.01,112.81,,SD - outlier,43.4,78.97,,SD - outlier,24.8,45.13,,SD - outlier,16.74,30.46,,SD - outlier,63.87,106.6,,SD - outlier,52.09,103.63
