Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,,,Low-Low,,
Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,,,Two Outlier sets,,
,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2,,,Set 1,Set 2
,761,816,,,632,677,,,524,562,,,435,467,,,361,387,,,300,321,,,249,267,,,207,221,,,345,370,,,576,618
,777,959,,,645,796,,,535,661,,,444,548,,,369,455,,,306,378,,,254,314,,,211,260,,,352,435,,,588,726
,733,751,,,608,623,,,505,517,,,419,429,,,348,356,,,289,296,,,240,246,,,199,204,,,332,340,,,555,568
,870,864,,,722,717,,,599,595,,,497,494,,,413,410,,,343,340,,,284,282,,,236,234,,,394,392,,,658,654
,756,762,,,627,632,,,521,525,,,432,436,,,359,362,,,298,300,,,247,249,,,205,207,,,343,345,,,572,577
,807,929,,,670,771,,,556,640,,,461,531,,,383,441,,,318,366,,,264,304,,,219,252,,,366,421,,,611,703
,692,950,,,574,789,,,477,654,,,396,543,,,328,451,,,273,374,,,226,311,,,188,258,,,314,431,,,524,719
,592,452,,,491,375,,,408,311,,,338,258,,,281,215,,,233,178,,,194,148,,,161,123,,,268,205,,,448,342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mean,748.5,810.38,,mean,621.26,672.61,,mean,515.64,558.27,,mean,427.98,463.36,,mean,355.23,384.59,,mean,294.84,319.21,,mean,244.71,264.94,,mean,203.11,219.9,,mean,339.2,367.24,,mean,566.46,613.29
SD,82.06,165.99,,SD,68.11,137.77,,SD,56.53,114.35,,SD,46.92,94.91,,SD,38.94,78.77,,SD,32.32,65.38,,SD,26.83,54.27,,SD,22.27,45.04,,SD,37.19,75.22,,SD,62.1,125.62
SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2,,SD as % of mean ,0.11,0.2
SD - outlier,88.46,179.27,,SD - outlier,73.43,148.79,,SD - outlier,60.94,123.5,,SD - outlier,50.58,102.5,,SD - outlier,41.98,85.08,,SD - outlier,34.85,70.62,,SD - outlier,28.92,58.61,,SD - outlier,24.01,48.65,,SD - outlier,40.09,81.24,,SD - outlier,66.95,135.67
